name,mos,DT,distortion_type
romanoillamp_00.ply,9.116666667,0,Octree_based_compression
romanoillamp_01.ply,9.321428571,0,Octree_based_compression
romanoillamp_02.ply,9.682692308,0,Octree_based_compression
romanoillamp_03.ply,8.62244898,0,Octree_based_compression
romanoillamp_04.ply,7.691326531,0,Octree_based_compression
romanoillamp_05.ply,3.6171875,0,Octree_based_compression
romanoillamp_06.ply,8.771683673,1,Color_Noise
romanoillamp_07.ply,7.568877551,1,Color_Noise
romanoillamp_08.ply,6.619897959,1,Color_Noise
romanoillamp_09.ply,7.808333333,1,Color_Noise
romanoillamp_10.ply,6.953125,1,Color_Noise
romanoillamp_11.ply,6.2265625,1,Color_Noise
romanoillamp_12.ply,7.941666667,2,Downscaling
romanoillamp_13.ply,8.163461538,2,Downscaling
romanoillamp_14.ply,8.25,2,Downscaling
romanoillamp_15.ply,7.544230769,2,Downscaling
romanoillamp_16.ply,5.125,2,Downscaling
romanoillamp_17.ply,2.723076923,2,Downscaling
romanoillamp_18.ply,9.553571429,3,Downscaling_and_Color_noise
romanoillamp_19.ply,8.71875,3,Downscaling_and_Color_noise
romanoillamp_20.ply,7.296153846,3,Downscaling_and_Color_noise
romanoillamp_21.ply,6.198076923,3,Downscaling_and_Color_noise
romanoillamp_22.ply,6.667091837,3,Downscaling_and_Color_noise
romanoillamp_23.ply,2.6,3,Downscaling_and_Color_noise
romanoillamp_24.ply,8.008333333,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_25.ply,8.7734375,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_26.ply,6.533333333,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_27.ply,3.125,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_28.ply,2.411989796,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_29.ply,1.433333333,4,Downscaling_and_Geometry_Gaussian_noise
romanoillamp_30.ply,9.40625,5,Geometry_Gaussian_noise
romanoillamp_31.ply,7.008333333,5,Geometry_Gaussian_noise
romanoillamp_32.ply,6.166666667,5,Geometry_Gaussian_noise
romanoillamp_33.ply,3.93622449,5,Geometry_Gaussian_noise
romanoillamp_34.ply,3.7734375,5,Geometry_Gaussian_noise
romanoillamp_35.ply,1.5703125,5,Geometry_Gaussian_noise
romanoillamp_36.ply,8.433333333,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_37.ply,8.5625,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_38.ply,7.1953125,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_39.ply,3.545918367,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_40.ply,2.811538462,6,Color_noise_and_Geometry_Gaussian_noise
romanoillamp_41.ply,1.223076923,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_00.ply,8.220663265,0,Octree_based_compression
unicorn_01.ply,7.405769231,0,Octree_based_compression
unicorn_02.ply,6.975,0,Octree_based_compression
unicorn_03.ply,6.1015625,0,Octree_based_compression
unicorn_04.ply,4.963461538,0,Octree_based_compression
unicorn_05.ply,2.380102041,0,Octree_based_compression
unicorn_06.ply,7.688461538,1,Color_Noise
unicorn_07.ply,8.3671875,1,Color_Noise
unicorn_08.ply,6.553571429,1,Color_Noise
unicorn_09.ply,6.880769231,1,Color_Noise
unicorn_10.ply,6.348076923,1,Color_Noise
unicorn_11.ply,5.9453125,1,Color_Noise
unicorn_12.ply,7.352040816,2,Downscaling
unicorn_13.ply,5.857692308,2,Downscaling
unicorn_14.ply,6.226923077,2,Downscaling
unicorn_15.ply,5.525510204,2,Downscaling
unicorn_16.ply,3.5859375,2,Downscaling
unicorn_17.ply,1.848076923,2,Downscaling
unicorn_18.ply,6.841666667,3,Downscaling_and_Color_noise
unicorn_19.ply,6.5703125,3,Downscaling_and_Color_noise
unicorn_20.ply,5.141666667,3,Downscaling_and_Color_noise
unicorn_21.ply,4.234375,3,Downscaling_and_Color_noise
unicorn_22.ply,3.455769231,3,Downscaling_and_Color_noise
unicorn_23.ply,1.37755102,3,Downscaling_and_Color_noise
unicorn_24.ply,7.2,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_25.ply,5.9296875,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_26.ply,4.6328125,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_27.ply,2.067602041,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_28.ply,1.5,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_29.ply,1.223076923,4,Downscaling_and_Geometry_Gaussian_noise
unicorn_30.ply,7.767857143,5,Geometry_Gaussian_noise
unicorn_31.ply,7.155612245,5,Geometry_Gaussian_noise
unicorn_32.ply,4.590561224,5,Geometry_Gaussian_noise
unicorn_33.ply,2.609375,5,Geometry_Gaussian_noise
unicorn_34.ply,1.857692308,5,Geometry_Gaussian_noise
unicorn_35.ply,1.3,5,Geometry_Gaussian_noise
unicorn_36.ply,8.375,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_37.ply,7.066326531,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_38.ply,5.15,6,Color_noise_and_Geometry_Gaussian_noise
unicorn_39.ply,3.103316327,6,Color_noise_and_Geometry_Gaussian_noise
